 "bdr" , "w" , "bc" , "trl" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/197992064/id" , "红楼梦  : 汉法对照  = = Le rêve dans le pavillon rouge : Chinois-français  / 曹雪芹, 高鹗著  / écrit par Cao Xueqin et Gao E  ; 李治华, 雅歌译  ; 安德烈・铎尔孟校  ; traduit en français par Li Zhihua et Jacqueline Alézais  ; révision par André d'Hormon/ 第1版. / 北京 : 人民文学出版社 , 2012" , "Li, Zhihua (1915-....)" ,
 "http://purl.bdrc.io/resource/P1428" , "http://www.sudoc.fr/083230718/id" , "Le soleil de la confiance  = = བཅོམ་ལྡན་འདས་ཐུབ་པའི་དབང་པོའི་མཛད་པ་མདོ་ཙམ་བརྗོད་པ་མཐོང་བས་དོན་ལྡན་རབ་ཏུ་དགའ་བ་དང་བཅས་པས་དད་པའི་ཉིན་བྱེད་ཕྱོགས་བརྒྱར་འཆར་བ། : la vie du Bouddha  / Taranatha  ; trad. [du tibétain] par le Comité de traduction Padmakara / Saint-Léon-sur-Vézère : Éd. Padmakara , 2003" , "Association Padmakara (Peyzac-le-Moustier, Dordogne)" ,
 "http://purl.bdrc.io/resource/P6118" , "http://www.sudoc.fr/105665142/id" , "Madhyānta-vibhanga  : discourse on discrimination between middle and extremes  / ascribed to Bodhisattva Maitreya  ; and commented by Vasubandhu and Sthiramati  ; translated from the Sanscrit by Th. Stcherbatsky / Osnabrück : Biblio , 1970" , "Ŝerbatskoj, Fëdor Ippolitovič (1866-1942)" ,
 "http://purl.bdrc.io/resource/P2636" , "http://www.sudoc.fr/093558082/id" , "Tilopa  : vie et chants  / par Marpa le Traducteur  ; traduction française de Lydie Rakower, Comité de traduction Rimay Lotswa / Ygrande : Éd. Yogi Ling , impr. 2004" , "Rakower, Lydie (19..-....)" ,
 "http://purl.bdrc.io/resource/P2636" , "http://www.sudoc.fr/093558082/id" , "Tilopa  : vie et chants  / par Marpa le Traducteur  ; traduction française de Lydie Rakower, Comité de traduction Rimay Lotswa / Ygrande : Éd. Yogi Ling , impr. 2004" , "Comité de traduction Lotsawa" ,
 "http://purl.bdrc.io/resource/P1KG23542" , "http://www.sudoc.fr/015344576/id" , "Bardo Thödol  : le Livre des morts tibétain ou les Expériences d'après la mort dans le plan du Bardo  / suivant la version anglaise du Lama Kazi Dawa Samdup  ; éditée par le Dr W.Y. Evans-Wentz ...  ; traduction française de Marguerite La Fuente  ; précédée d'une préface de M. Jacques Bacot / Paris : Adrien-Maisonneuve , impr. 1971" , "La Fuente, Marguerite" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/094366284/id" , "Lines of Experience:  : The Main Aspects of the Practice of the Stages on the Graded Path to Enlightenment  / translation form the Tibetan Lam.rim.bsdus.don by rJe TZong.kha.pa, prepared by Sherpa Tulku, Alexander Berrin, and Jonathan Landaw in accordance with an oral explanation given by Geshe Ngawang Dhargyey, a Guru from Sera J'e Monastic College / Dharamsala : Library of Tibetan Works and Archives , 1973" , "Sherpa Tulku (1948?-....)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/094366284/id" , "Lines of Experience:  : The Main Aspects of the Practice of the Stages on the Graded Path to Enlightenment  / translation form the Tibetan Lam.rim.bsdus.don by rJe TZong.kha.pa, prepared by Sherpa Tulku, Alexander Berrin, and Jonathan Landaw in accordance with an oral explanation given by Geshe Ngawang Dhargyey, a Guru from Sera J'e Monastic College / Dharamsala : Library of Tibetan Works and Archives , 1973" , "Landaw, Jonathan" ,
 "http://purl.bdrc.io/resource/P1KG4195" , "http://www.sudoc.fr/185937349/id" , "Занимательные заметки  : Описание путешествия вокруг света (Автобиография)  / Агван Доржиев  ; Перевод с монгольского А.Д.Цендиной  ; Транслитерация, предисловие, комментарий, глоссарий и указатели А.Г.Сазыкина и А.Д.Цендиной / Москва : [Издательская фирма "Востоц̌ная литература" РАН , 2003" , "Cendina, Anna Damdinovna" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/177468262/id" , "Path to the middle  : oral Mādhyamika philosophy in Tibet  : the spoken scholarship of Kensur Yeshey Tupden commenting on Tsong-kha-pa's illumination of the thought, extensive explanation of (Candrakīrti's) "Entrance to (Nāgārjuna's) 'Treatise on the middle way'"  : (dbu ma dgongs pa rab gsal), the sixth chapter, "Perfection of wisdom" verses 1-7  / collected, translated, edited, annotated, and introduced by Anne Carolyn Klein  ; translation of Tsong-kha-pa's text by Jeffrey Hopkins and Anne Klein  ; annotations by Jeffrey Hopkins / Albany, N.Y. : State University of New York Press , cop. 1994" , "Hopkins, Jeffrey (1940-....)" ,
 "http://purl.bdrc.io/resource/P4278" , "http://www.sudoc.fr/148426263/id" , "Milaräpa  : Tibets grosser Yogi auf dem Weg zu Wissen und Erösung  / [aus dem tibetischen Original in die französishe Sprache übersetz von Jacques Bacot  ; übertragen aus dem französischen Text von Berndt Heisz] / Pfullingen/Württ. : Baum Verlag , 1956" , "Bacot, Jacques (1877-1965)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/189954728/id" , "Le rêve dans le pavillon rouge  / texte original Cao Xueqin  ; traduction Nicolas Henry & Si Mo  ; [préface, dans le livret, de Chi Li] / [Paris] : Fei , cop. 2015" , "Henry, Nicolas (1981-.... ; traducteur)" ,
