"p","prefL","es"
"http://purl.bdrc.io/resource/P7497","thub bstan yar 'phel dbang po/","37"
"http://purl.bdrc.io/resource/P7658","si tu dbon sprul karma nges don snying po gzhan phan chos kyi dbang phyug","37"
"http://purl.bdrc.io/resource/P00EGS1016275","karma chos rgyal/","36"
"http://purl.bdrc.io/resource/P00EGS1016932","tshe ring dpal 'byor/","36"
"http://purl.bdrc.io/resource/P00EGS1017424","ltag o rgyan chos 'phel/","36"
"http://purl.bdrc.io/resource/P00KG09749","mkhan po ye shes chos dar/","36"
"http://purl.bdrc.io/resource/P10056","bstan 'dzin/","36"
"http://purl.bdrc.io/resource/P1022","lha btsun sngon po/","36"
"http://purl.bdrc.io/resource/P10335","ye shes stobs rgyal/","36"
"http://purl.bdrc.io/resource/P10467","'gar rtse 'jigs med/","36"
"http://purl.bdrc.io/resource/P10595","phyag na 'od/","36"
"http://purl.bdrc.io/resource/P1578","rngog byang chub 'byung gnas/","36"
"http://purl.bdrc.io/resource/P1636","ri rdzong sras sprul blo bzang tshul khrims chos 'phel/","36"
"http://purl.bdrc.io/resource/P1GS58456","klu 'bum tshe ring /","36"
"http://purl.bdrc.io/resource/P1GS75056","sha bo pad+ma rgyal/","36"
"http://purl.bdrc.io/resource/P1GS88476","ngam rdzong pa/","36"
"http://purl.bdrc.io/resource/P1KG10060","lha lung pa blo bzang phun tshogs/","36"
"http://purl.bdrc.io/resource/P1KG12106","'jigs med rdo rje/","36"
"http://purl.bdrc.io/resource/P1KG13124","lha byams rgyal/","36"
"http://purl.bdrc.io/resource/P1KG1389","gshen gyi dge sbyong pa tshul khrims bstan pa'i rgyal mtshan།","36"
"http://purl.bdrc.io/resource/P1KG14983","byams pa bsam gtan/","36"
"http://purl.bdrc.io/resource/P1KG15791","mkhyen rab rgya mtsho/","36"
"http://purl.bdrc.io/resource/P1KG23562","a ri ayi dzon/","36"
"http://purl.bdrc.io/resource/P1KG24455","chab brag lha mo skyabs/","36"
"http://purl.bdrc.io/resource/P1KG4455","blo bzang bstan 'dzin/","36"
"http://purl.bdrc.io/resource/P1KG4866","skal bzang mkhas grub/","36"
"http://purl.bdrc.io/resource/P1KG516","khri sems dpa'","36"
"http://purl.bdrc.io/resource/P1KG5992","karma kun khyab/","36"
"http://purl.bdrc.io/resource/P1KG6125","cin yung hwa/","36"
"http://purl.bdrc.io/resource/P1TLMTGA001311","'brug pa kun mkhyen pad+ma dkar po/","36"
"http://purl.bdrc.io/resource/P2277","gnas brtan 'jam dbyangs grags pa/","36"
"http://purl.bdrc.io/resource/P228","g.yer gshong mkhan chen no mon han ngag dbang blo bzang bstan 'dzin rgya mtsho/","36"
"http://purl.bdrc.io/resource/P2349","rig 'dzin ku mA rA dza/","36"
"http://purl.bdrc.io/resource/P241","dkar drung pad+ma rdo rje/","36"
"http://purl.bdrc.io/resource/P3389","rngog lo chung legs pa'i shes rab/","36"
"http://purl.bdrc.io/resource/P348","la mo blo bzang bstan pa'i nyi ma/","36"
"http://purl.bdrc.io/resource/P3CN21160","grub thob dngos grub/","36"
"http://purl.bdrc.io/resource/P3CN8622","ye shes don rtogs/","36"
"http://purl.bdrc.io/resource/P3CN9800","wang li zhung /","36"
"http://purl.bdrc.io/resource/P4921","lo chen skyabs mchog dpal/","36"
"http://purl.bdrc.io/resource/P4CZ16865","paN+Di ta chen po mAM hi ka wi/","36"
"http://purl.bdrc.io/resource/P4CZ354254","skran/","36"
"http://purl.bdrc.io/resource/P4CZ75605","rdo sbis tshe ring rgyal/","36"
"http://purl.bdrc.io/resource/P5107","gser khang bkra shis/","36"
"http://purl.bdrc.io/resource/P5347","rgan gya'i dkon mchog rgya mtsho/","36"
"http://purl.bdrc.io/resource/P5790","mkhan po pad+ma shes rab/","36"
"http://purl.bdrc.io/resource/P6082","la dwags bkra shis rab rgyas/","36"
"http://purl.bdrc.io/resource/P6134","blo bzang nor bu/","36"
"http://purl.bdrc.io/resource/P6258","nor bu bsam grub/","36"
"http://purl.bdrc.io/resource/P6305","dkon mchog rin chen/","36"
"http://purl.bdrc.io/resource/P6531","sgo me lha rgyal tshe ring /","36"
"http://purl.bdrc.io/resource/P6585","khyung thar rgyal/","36"
"http://purl.bdrc.io/resource/P6893","spom rags karma tshe dbang dpal 'bar/","36"
"http://purl.bdrc.io/resource/P6903","'jigs med grags pa phyogs las rnam rgyal/","36"
"http://purl.bdrc.io/resource/P6945","dri med kun dga'","36"
"http://purl.bdrc.io/resource/P7317","ya han krang /","36"
"http://purl.bdrc.io/resource/P7321","nyag rong dung khungs rdo rgyal tshang a brtan/","36"
"http://purl.bdrc.io/resource/P7353","slob dpon chen po thub bstan mchog sgrub/","36"
"http://purl.bdrc.io/resource/P7377","tshogs gnyis rab rgyas/","36"
"http://purl.bdrc.io/resource/P7383","sde rong tshe ring don 'grub/","36"
"http://purl.bdrc.io/resource/P7487","gling tshang gter ston drag rtsal rdo rje/","36"
"http://purl.bdrc.io/resource/P7501","slob dpon karma phun tshogs/","36"
"http://purl.bdrc.io/resource/P7539","tshe dbang rig 'dzin/","36"
"http://purl.bdrc.io/resource/P7568","bla nag pa ye shes bzang po/","36"
"http://purl.bdrc.io/resource/P7721","bsod nams rgya mtsho/","36"
"http://purl.bdrc.io/resource/P7869","nam mkha' dpal/","36"
"http://purl.bdrc.io/resource/P7998","gcan rang sad/","36"
"http://purl.bdrc.io/resource/P8057","'ba' don grub rgyal/","36"
"http://purl.bdrc.io/resource/P9356","bis mdo brtson 'grus rab rgyas/","36"
"http://purl.bdrc.io/resource/P9384","blo bzang chos grags/","36"
"http://purl.bdrc.io/resource/P9455","blo bzang bstan 'dzin/","36"
"http://purl.bdrc.io/resource/P9590","mkhan po phun tshogs bkra shis/","36"
"http://purl.bdrc.io/resource/P9758","bskal bzang blo gsal/","36"
"http://purl.bdrc.io/resource/P9861","dkon mchog pa sangs/","36"
"http://purl.bdrc.io/resource/P9862","sman rams pa dkon mchog rin chen/","36"
"http://purl.bdrc.io/resource/P3980","shud ge lo tsA ba grags pa rgyal mtshan/","35"
"http://purl.bdrc.io/resource/P5055","o rgyan bstan 'dzin nor bu/","35"
"http://purl.bdrc.io/resource/P5114","nyag bla ye shes rdo rje/","35"
"http://purl.bdrc.io/resource/P5626","sman sgom tshul khrims bzang po/","35"
"http://purl.bdrc.io/resource/P8LS13405","lung bzang nang pa 01 blo bzang bsam gtan/","35"
"http://purl.bdrc.io/resource/P00KG01065","do rgya dbang drag rdo rje/","34"
"http://purl.bdrc.io/resource/P1028","thar lam rab 'byams pa kun dga' ye shes/","34"
"http://purl.bdrc.io/resource/P1511","byang sems rgyal ba ye shes/","34"
"http://purl.bdrc.io/resource/P1929","shar chen ngag dbang tshul khrims/","34"
"http://purl.bdrc.io/resource/P1KG14977","bag gro/","34"
"http://purl.bdrc.io/resource/P2664","byams pa bsod nams dbang po/","34"
"http://purl.bdrc.io/resource/P4CZ15565","'brog mi lo tsA ba jo sras/","34"
"http://purl.bdrc.io/resource/P5001","sde dge bla sman rin chen 'od zer/","34"
"http://purl.bdrc.io/resource/P5012","bi ji tsan pa shi la ha/","34"
"http://purl.bdrc.io/resource/P6625","mu po/","34"
"http://purl.bdrc.io/resource/P7786","dge slong ngag gi dbang po/","34"
"http://purl.bdrc.io/resource/P1271","mgo log sman pa stag bla nor bu/","33"
"http://purl.bdrc.io/resource/P162","hor dka' chen blo bzang don grub/","33"
"http://purl.bdrc.io/resource/P1694","smyug la paN chen/","33"
"http://purl.bdrc.io/resource/P2677","pad gling thugs sras 05 kun bzang 'gyur med mchog grub/","33"
"http://purl.bdrc.io/resource/P271","the bo ye shes thub bstan rgya mtsho/","33"
"http://purl.bdrc.io/resource/P273","a rol blo bzang lung rigs rgya mtsho/","33"
"http://purl.bdrc.io/resource/P2922","lo chen thugs rje dpal ba/","33"
"http://purl.bdrc.io/resource/P299","kong po ye shes brtson 'grus/","33"
"http://purl.bdrc.io/resource/P4379","'o rdzong paN+Di ta blo bzang sbyin pa/","33"
"http://purl.bdrc.io/resource/P4CZ15112","lo tsA ba sbal rdo rje rgyal po/","33"
"http://purl.bdrc.io/resource/P4CZ15406","lo tsA ba lo btsun chung /","33"
"http://purl.bdrc.io/resource/P580","zhabs drung thugs sprul 04 'jigs med nor bu/","33"
"http://purl.bdrc.io/resource/P6263","stobs ldan rab 'byams/","33"
"http://purl.bdrc.io/resource/P646","byang bdag bkra shis stobs rgyal/","33"
"http://purl.bdrc.io/resource/P682","rig 'dzin thugs mchog rdo rje/","33"
"http://purl.bdrc.io/resource/P7274","bla ma mun sel tshul khrims rgya mtsho/","33"
"http://purl.bdrc.io/resource/P9615","ser smad ri 'bur sprul sku rgyal bstan ngag dbang rgya mtsho/","33"
"http://purl.bdrc.io/resource/P1036","gung ru shes rab bzang po/","32"
"http://purl.bdrc.io/resource/P1622","lcags rwa 06 ngag dbang 'phrin las/","32"
"http://purl.bdrc.io/resource/P1KG15488","sha 'brong bkra shis rgya mtsho/","32"
"http://purl.bdrc.io/resource/P1KG15928","dngos grub rgya mtsho/","32"
"http://purl.bdrc.io/resource/P253","mkhyen rab bstan pa chos 'phel/","32"
"http://purl.bdrc.io/resource/P2802","mus chen chos nyid ye shes/","32"
"http://purl.bdrc.io/resource/P2939","dus zhabs pa dpal rgyas dbang po/","32"
"http://purl.bdrc.io/resource/P349","rgya nag pa 'jam dbyangs bstan pa'i nyi ma/","32"
"http://purl.bdrc.io/resource/P3495","hor ston nam mkha' dpal ba/","32"
"http://purl.bdrc.io/resource/P4107","dkon mchog 'gro phan dbang po/","32"
"http://purl.bdrc.io/resource/P412","rwa sgreng 01 ngag dbang mchog ldan/","32"
"http://purl.bdrc.io/resource/P4530","lo tsA ba tshul khrims yon tan/","32"
"http://purl.bdrc.io/resource/P4546","mtshur ston dbyig gi rgyal mtshan/","32"
"http://purl.bdrc.io/resource/P4694","chos rje ngag dbang rdo rje/","32"
"http://purl.bdrc.io/resource/P4727","thar shul dpon slob chos skyong rgya mtsho/","32"
"http://purl.bdrc.io/resource/P4991","sde dge bla sman chos grags rgya mtsho/","32"
"http://purl.bdrc.io/resource/P4CZ10564","lo tsA ba sna nam rdo rle bla ma/","32"
"http://purl.bdrc.io/resource/P4CZ16874","lo tsA ba dge slong dbyig gi rin chen/","32"
"http://purl.bdrc.io/resource/P6657","mgon po skyabs/","32"
"http://purl.bdrc.io/resource/P7428","yum pa/","32"
"http://purl.bdrc.io/resource/P7581","rgya gar grub chen bud d+ha gupta/","32"
"http://purl.bdrc.io/resource/P7761","kun bzang chos grags/","32"
"http://purl.bdrc.io/resource/P8011","rgyal rtse dbang 'dus tshe ring /","32"
"http://purl.bdrc.io/resource/P9099","rig 'dzin 'jigs med go cha/","32"
"http://purl.bdrc.io/resource/P9603","'gyan sangs rgyas don grub/","32"
"http://purl.bdrc.io/resource/P0RK1101","rgya ston kun dga' brtson 'grus/","31"
"http://purl.bdrc.io/resource/P10023","kha che paN chen blo gros brtan pa/","31"
"http://purl.bdrc.io/resource/P10722","shes rab rgya mtsho/","31"
"http://purl.bdrc.io/resource/P1167","byang ngos pa rdo rje dngos grub/","31"
"http://purl.bdrc.io/resource/P1KG1876","pad+ma rdo rje/","31"
"http://purl.bdrc.io/resource/P1KG5810","mkhan shes rab dpal/","31"
"http://purl.bdrc.io/resource/P1KG804","'od gsal klong yangs rtsal/","31"
"http://purl.bdrc.io/resource/P2138","g.yag sde lo tsA ba bsod nams seng+ge","31"
"http://purl.bdrc.io/resource/P2414","gha rung pa lha'i rgyal mtshan/","31"
"http://purl.bdrc.io/resource/P2687","kun bzang bstan pa'i rgyal mtshan/","31"
"http://purl.bdrc.io/resource/P3092","grub chen brag phug pa/","31"
"http://purl.bdrc.io/resource/P3546","a mdo dge bshes 'jam dpal rol pa'i blo gros/","31"
"http://purl.bdrc.io/resource/P3874","sa bzang 'phags pa gzhon nu blo gros/","31"
"http://purl.bdrc.io/resource/P5591","gung thang 06 'jigs med bstan pa'i dbang phyug","31"
"http://purl.bdrc.io/resource/P5874","rgya sgom pa shAkya rin chen/","31"
"http://purl.bdrc.io/resource/P5929","lha mo skyabs/","31"
"http://purl.bdrc.io/resource/P5999","lung rtogs bstan pa'i nyi ma/","31"
"http://purl.bdrc.io/resource/P6068","dgu rong 02 sna tshogs rang grol/","31"
"http://purl.bdrc.io/resource/P6208","rje dbon grags pa yongs 'dus/","31"
"http://purl.bdrc.io/resource/P6301","o rgyan brtson 'grus/","31"
"http://purl.bdrc.io/resource/P6922","dngos grub dpal 'bar/","31"
"http://purl.bdrc.io/resource/P7537","rnam rgyal grags pa/","31"
"http://purl.bdrc.io/resource/P7822","dmu gshen nyi ma rgyal mtshan/","31"
"http://purl.bdrc.io/resource/P7962","kaH thog mkhas grub nam mkha' rdo rje/","31"
"http://purl.bdrc.io/resource/P8406","dbu ma pa shes rab 'bum/","31"
"http://purl.bdrc.io/resource/P00EGS1016948","hor gtsang legs bshad/","30"
"http://purl.bdrc.io/resource/P00EGS1017158","rin chen rdo rje/","30"
"http://purl.bdrc.io/resource/P00EGS1017952","sangs rgyas mkhar/","30"
"http://purl.bdrc.io/resource/P00KG02332","dbang rgyal/","30"
"http://purl.bdrc.io/resource/P10049","lhag pa chos 'phel/","30"
"http://purl.bdrc.io/resource/P10057","bde skyid sgrol ma/","30"
"http://purl.bdrc.io/resource/P10084","gzungs 'bum thar/","30"
"http://purl.bdrc.io/resource/P10193","mon rtse pa kun dga' dpal ldan/","30"
"http://purl.bdrc.io/resource/P10291","mkhas grub ye shes rgyal mtshan/","30"
"http://purl.bdrc.io/resource/P1169","tsha rong dpal ldan rgyal mtshan/","30"
"http://purl.bdrc.io/resource/P1204","don gling mkhan sprul a rol blo bzang lung rtogs bstan pa'i rgyal mtshan/","30"
"http://purl.bdrc.io/resource/P150","mkhas btsun yon tan rgya mtsho/","30"
"http://purl.bdrc.io/resource/P1672","bon zhig g.yung drung gling pa/","30"
"http://purl.bdrc.io/resource/P1CZ2416","spo chung tshang lha dar don grub/","30"
"http://purl.bdrc.io/resource/P1GS66315","mig dmar tshe ring /","30"
"http://purl.bdrc.io/resource/P1KG15351","lhun grub rgya mtsho/","30"
"http://purl.bdrc.io/resource/P1KG15786","dngos grub bsod nams/","30"
"http://purl.bdrc.io/resource/P1KG1692","thub bstan grags pa/","30"
"http://purl.bdrc.io/resource/P1KG18619","a lags rje sprul blo gros chos bzang /","30"
"http://purl.bdrc.io/resource/P1KG2178","rdo bum sprul sku blo bzang bstan 'dzin/","30"
"http://purl.bdrc.io/resource/P1KG402","nor bu bsam 'phel/","30"
"http://purl.bdrc.io/resource/P1KG4233","mkhan po bsod nams rgya mtsho/","30"
"http://purl.bdrc.io/resource/P1KG427","ngag dbang ye shes/","30"
"http://purl.bdrc.io/resource/P1KG4434","thub bstan dpal bzang /","30"
"http://purl.bdrc.io/resource/P1KG520","oM 'bar/","30"
"http://purl.bdrc.io/resource/P1KG5608","zla ba dar rgyas/","30"
"http://purl.bdrc.io/resource/P1KG6165","blo bzang rnam rgyal/","30"
"http://purl.bdrc.io/resource/P1TLMTGA001280","ngag dbang chos grags/","30"
"http://purl.bdrc.io/resource/P1TLMTGA002493","sngags 'chang ngag dbang kun dga' rin chen/","30"
"http://purl.bdrc.io/resource/P2858","ngag dbang kun dga' bstan 'dzin/","30"
"http://purl.bdrc.io/resource/P2CZ8053","dka' chen shes rab yar 'phel/","30"
"http://purl.bdrc.io/resource/P2DB6813","ye shes bstan 'dzin dbang rgyal/","30"
"http://purl.bdrc.io/resource/P2PD17095","rig 'dzin 'gyur med rdo rje/","30"
"http://purl.bdrc.io/resource/P3079","khyung po lhas pa gzhon nu bsod nams/","30"
"http://purl.bdrc.io/resource/P3158","'dul 'dzin dpal ldan bzang po/","30"
"http://purl.bdrc.io/resource/P316","a rig dge bshes byams pa 'od zer/","30"
"http://purl.bdrc.io/resource/P3811","lha smon ye shes tshul khrims/","30"
"http://purl.bdrc.io/resource/P4113","mkhan chen chos rgyal/","30"
"http://purl.bdrc.io/resource/P523","'brug rje mkhan po 06 ngag dbang lhun grub/","30"
"http://purl.bdrc.io/resource/P5273","yar lung jo bo shAkya rin chen sde/","30"
"http://purl.bdrc.io/resource/P545","'brug pa lo tsA ba ngag dbang dpal bzang /","30"
"http://purl.bdrc.io/resource/P6248","shes rab chos 'phel/","30"
"http://purl.bdrc.io/resource/P6308","rtse gzhung pa ya ma thar/","30"
"http://purl.bdrc.io/resource/P6321","bsod nams tshe ring /","30"
"http://purl.bdrc.io/resource/P6442","dga' ba pa sangs/","30"
"http://purl.bdrc.io/resource/P6477","nor sde/","30"
"http://purl.bdrc.io/resource/P6629","ldong ka tshang dge shis chos grags/","30"
"http://purl.bdrc.io/resource/P6633","'ba' gzhung rin chen tshe ring /","30"
"http://purl.bdrc.io/resource/P6637","a sngags tshe ring bkra shis/","30"
"http://purl.bdrc.io/resource/P6648","zho ra pad+ma dbang chen/","30"
"http://purl.bdrc.io/resource/P6671","bsod nams tshe ring /","30"
"http://purl.bdrc.io/resource/P6714","ka shod pa chos rgyal nyi ma/","30"
"http://purl.bdrc.io/resource/P6757","grub rigs khyu mchog","30"
"http://purl.bdrc.io/resource/P6866","btsun pa ston gzhon/","30"
"http://purl.bdrc.io/resource/P6978","blo bzang dge 'dun/","30"
"http://purl.bdrc.io/resource/P7410","'bum skyabs/","30"
"http://purl.bdrc.io/resource/P7478","'phrin las lhun grub rgyal mtshan/","30"
"http://purl.bdrc.io/resource/P7620","karma chags med 04 karma bstan 'dzin phrin las/","30"
"http://purl.bdrc.io/resource/P7701","rkang btsugs/","30"
"http://purl.bdrc.io/resource/P7867","'jigs med 'phrin las rnam rgyal/","30"
"http://purl.bdrc.io/resource/P7914","gter chen 'jigs med rdo rje dpa' bo/","30"
"http://purl.bdrc.io/resource/P7966","bya bral ba bsod nams don grub/","30"
"http://purl.bdrc.io/resource/P8255","nam mkha' rin chen/","30"
"http://purl.bdrc.io/resource/P8321","dmu dge thub bstan rgya mtsho/","30"
"http://purl.bdrc.io/resource/P8977","mkhan po zla ba'i 'od zer/","30"
"http://purl.bdrc.io/resource/P8LS12194","smin gling mkhan chen ngag dbang mkhyen brtse'i nor bu/","30"
"http://purl.bdrc.io/resource/P9034","dge rgyas pa bstan 'dzin rdo rje/","30"
"http://purl.bdrc.io/resource/P9141","ngag dbang bstan pa'i nyi ma/","30"
"http://purl.bdrc.io/resource/P925","si tu 11 pad+ma dbang mchog rgyal po/","30"
"http://purl.bdrc.io/resource/P9371","a skyong mkhan po blo bzang rdo rje/","30"
"http://purl.bdrc.io/resource/P9756","sman shul rin chen rdo rje/","30"
"http://purl.bdrc.io/resource/P0RK1295","rngog gzhung rin chen dpal bzang /","29"
"http://purl.bdrc.io/resource/P1","dkon mchog rgyal mtshan/","29"
"http://purl.bdrc.io/resource/P1KG4602","sde pa dge bshes ngag dbang rgya mtsho/","29"
"http://purl.bdrc.io/resource/P2738","mkhas grub byams pa phun tshogs/","29"
"http://purl.bdrc.io/resource/P2781","mus chen rgyal mtshan dpal bzang /","29"
"http://purl.bdrc.io/resource/P3057","byang chub dbang rgyal/","29"
"http://purl.bdrc.io/resource/P3639","rig 'dzin kun bzang stobs ldan dbang po/","29"
"http://purl.bdrc.io/resource/P374","gung thang 04 dkon mchog bstan pa'i rgya mtsho/","29"
"http://purl.bdrc.io/resource/P5884","byams me lha mchog","29"
"http://purl.bdrc.io/resource/P6066","kha gya'i gter rgan rig 'dzin bdud 'joms rdo rje/","29"
"http://purl.bdrc.io/resource/P6861","chos grags bzang po/","29"
"http://purl.bdrc.io/resource/P695","'jigs med rgyal ba'i myu gu 01","29"
"http://purl.bdrc.io/resource/P7549","la mo yongs 'dzin blo bzang mkhas grub rgya mtsho/","29"
"http://purl.bdrc.io/resource/P776","mus chen sangs rgyas rgyal mtshan/","29"
"http://purl.bdrc.io/resource/P7815","ke'u tshang shar dge slong dge legs rgya mtsho/","29"
"http://purl.bdrc.io/resource/P1040","ngor mkhan chen 04 kun dga' dbang phyug","28"
"http://purl.bdrc.io/resource/P1KG2175","tshe ring bkra shis/","28"
"http://purl.bdrc.io/resource/P1KG26415","ban de mkhar/","28"
"http://purl.bdrc.io/resource/P1KG4431","karma smon lam/","28"
"http://purl.bdrc.io/resource/P1PD99","'phags pa skyabs/","28"
"http://purl.bdrc.io/resource/P231","stag phu 'jam dpal bstan pa'i dngos grub/","28"
"http://purl.bdrc.io/resource/P261","khal kha rje btsun dam pa 05 blo bzang tshul khrims 'jigs med bstan pa'i rgyal mtshan/","28"
"http://purl.bdrc.io/resource/P2701","smin gling rje btsun 'phrin las chos sgron/","28"
"http://purl.bdrc.io/resource/P2CZ8066","sngags 'chang mgon po tshe brtan/","28"
"http://purl.bdrc.io/resource/P2DB25425","blo bzang chos 'dzin/","28"
"http://purl.bdrc.io/resource/P3086","pham mthing pa gcen 'jigs med grags pa/","28"
"http://purl.bdrc.io/resource/P3724","sems dpa' rdo rje sprul sku shes rab 'od zer/","28"
"http://purl.bdrc.io/resource/P475","'ba' ra ba nam mkha' rgyal mtshan/","28"
"http://purl.bdrc.io/resource/P6319","a wo bla ma bstan 'dzin dar rgyas/","28"
"http://purl.bdrc.io/resource/P6583","byang rig kho/","28"
"http://purl.bdrc.io/resource/P6620","kha sgang bkra shis tshe ring /","28"
"http://purl.bdrc.io/resource/P6900","dam chos rgya mtsho/","28"
"http://purl.bdrc.io/resource/P7180","gnyos ston dpal ldan bzang po/","28"
"http://purl.bdrc.io/resource/P7322","bkra shis tshe ring /","28"
"http://purl.bdrc.io/resource/P7391","bstan 'dzin phun tshogs/","28"
"http://purl.bdrc.io/resource/P7461","rdo rje tshe brtan/","28"
"http://purl.bdrc.io/resource/P7674","kun grol grags pa 05 hUM chen 'gro 'dul glin pa/","28"
"http://purl.bdrc.io/resource/P7857","stag tshang ras pa ngag dbang rgya mtsho/","28"
"http://purl.bdrc.io/resource/P8005","nam sprul kun bzang theg mchog rdo rje/","28"
"http://purl.bdrc.io/resource/P8096","'jam bu mkha' 'gro tshe ring /","28"
"http://purl.bdrc.io/resource/P8114","tshe dbang thar/","28"
"http://purl.bdrc.io/resource/P8676","shes rab nyi ma/","28"
"http://purl.bdrc.io/resource/P8677","thang ca we/","28"
"http://purl.bdrc.io/resource/P8837","nam mkha' klong yangs/","28"
"http://purl.bdrc.io/resource/P8LS12022","'phrin las lhun grub/","28"
"http://purl.bdrc.io/resource/P9635","yul nang ngag dbang bstan 'dzin/","28"
"http://purl.bdrc.io/resource/P1786","de mo 05 ngag dbang dge legs rgyal mtshan/","27"
"http://purl.bdrc.io/resource/P1CN46336","ri khrod pa nam mkha' legs pa/","27"
"http://purl.bdrc.io/resource/P1GS66366","rgyal rong sprul sku mdo sngags bstan pa'i sgron me/","27"
"http://purl.bdrc.io/resource/P1KG14683","rig 'dzin mkha' spyod rdo rje/","27"
"http://purl.bdrc.io/resource/P233","stag brag khri sprul 03 ngag dbang gsung rab mthu stobs/","27"
"http://purl.bdrc.io/resource/P283","che shos 02 ngag dbang bshad sgrub bstan pa'i nyi ma/","27"
"http://purl.bdrc.io/resource/P2JM443","che yol dpa' bo las rab rtsal/","27"
"http://purl.bdrc.io/resource/P2KG209127","dwags po skal bzang bstan 'dzin mkhas grub/","27"
"http://purl.bdrc.io/resource/P426","thon pa mkhas btsun yon tan rgya mtsho/","27"
"http://purl.bdrc.io/resource/P4362","rta tshag 04 lha dbang chos kyi rgyal mtshan/","27"
"http://purl.bdrc.io/resource/P4575","dkar po brag pa rin chen seng+ge","27"
"http://purl.bdrc.io/resource/P4CZ75592","'bri gung dpal 'dzin/","27"
"http://purl.bdrc.io/resource/P5277","chag lo tsA ba rin chen chos rgyal/","27"
"http://purl.bdrc.io/resource/P7625","rgyal sras legs pa/","27"
"http://purl.bdrc.io/resource/P8133","mkhas btsun nam mkha' tshe dbang mchog grub/","27"
"http://purl.bdrc.io/resource/P00EGS1016957","gling tsha tshe brtan rdo rje/","26"
"http://purl.bdrc.io/resource/P00EGS1017053","karma gzhan phan rgya mtsho/","26"
"http://purl.bdrc.io/resource/P00EGS1017168","phu pa tshe ring stobs rgyal/","26"
"http://purl.bdrc.io/resource/P00KG09971","nyi sprul 07 kun bzang yon tan bzang po/","26"
"http://purl.bdrc.io/resource/P0RK972","dpal ldan ye shes/","26"
"http://purl.bdrc.io/resource/P10","stag phu gar dbang chos kyi dbang phyug","26"
"http://purl.bdrc.io/resource/P1316","sne'u zur pa ye shes 'bar/","26"
"http://purl.bdrc.io/resource/P1873","ngor mkhan chen 07 dkon mchog 'phel ba/","26"
"http://purl.bdrc.io/resource/P1CZ2228","sangs rgyas chos 'dzoms/","26"
"http://purl.bdrc.io/resource/P1KG1357","rin chen dbang rgyal/","26"
"http://purl.bdrc.io/resource/P1KG23170","rgyal mtshan chos ldan/","26"
"http://purl.bdrc.io/resource/P1KG3532","dka' bcu smra ba blo bzang rdo rje/","26"
"http://purl.bdrc.io/resource/P1PD108567","'dzi sgar kong sprul blo gros rab 'phel/","26"
"http://purl.bdrc.io/resource/P1PD87838","nor bu chos 'phel/","26"
"http://purl.bdrc.io/resource/P2077","grub dbang 'jam dpal rgya mtsho/","26"
"http://purl.bdrc.io/resource/P2248","sangs rgyas gnyan ston/","26"
"http://purl.bdrc.io/resource/P2610","rig pa'i dbang phyug dge ba rgyal mtshan/","26"
"http://purl.bdrc.io/resource/P2DB5979","bla ma chos dbyings rdo rje/","26"
"http://purl.bdrc.io/resource/P2PD17473","'jam byangs blo gros rgya mtsho/","26"
"http://purl.bdrc.io/resource/P3038","dpa' ris 'jigs med dam chos/","26"
"http://purl.bdrc.io/resource/P3117","sgrub khang blo bzang tshul khrims bstan pa'i rgyal mtshan/","26"
"http://purl.bdrc.io/resource/P3239","na len+dra pa/","26"
"http://purl.bdrc.io/resource/P3749","so ston shAkya dpal/","26"
"http://purl.bdrc.io/resource/P3800","rdzong dkar 'jigs med lung rigs rgya mtsho/","26"
"http://purl.bdrc.io/resource/P3JM136","dpal sprul nam mkha' 'jigs med/","26"
"http://purl.bdrc.io/resource/P4158","lhun sdings bdud rtsi 'gyur med/","26"
"http://purl.bdrc.io/resource/P4247","dngul chu blo bzang 'jigs med dbang po/","26"
"http://purl.bdrc.io/resource/P452","ngag dbang grags pa/","26"
"http://purl.bdrc.io/resource/P4758","blo gsal gling mkhan zur 'jam dpal bsam 'phel/","26"
"http://purl.bdrc.io/resource/P4823","yongs 'dzin dpon brang /","26"
"http://purl.bdrc.io/resource/P4857","nyag rong pa zla ba bzang po/","26"
"http://purl.bdrc.io/resource/P5162","bde chen chos 'khor yongs 'dzin 08 ngag gi dbang po/","26"
"http://purl.bdrc.io/resource/P5274","mkhar nag lo tsA ba dpal 'byor rgya mtsho/","26"
"http://purl.bdrc.io/resource/P5284","zang zang ne ring pa 'chi med rab rgyas/","26"
"http://purl.bdrc.io/resource/P5519","slob dpon seng+ge bzang po/","26"
"http://purl.bdrc.io/resource/P561","gdong kam sprul sku ngag dbang dam chos rgya mtsho/","26"
"http://purl.bdrc.io/resource/P6578","mkha' 'gro rgyal/","26"
"http://purl.bdrc.io/resource/P6878","bya bral ngag dbang rnam rgyal/","26"
"http://purl.bdrc.io/resource/P7152","zhang rin chen ye shes/","26"
"http://purl.bdrc.io/resource/P7818","don grub lha rgyal/","26"
"http://purl.bdrc.io/resource/P7856","zangs dkar bla ma karma bstan 'dzin/","26"
"http://purl.bdrc.io/resource/P8076","lha phyug skyid/","26"
"http://purl.bdrc.io/resource/P9639","bskal bzang lha mo/","26"
"http://purl.bdrc.io/resource/P9835","bzang po rdo rje/","26"
"http://purl.bdrc.io/resource/P00KG03802","tshe dbang rdo rje/","25"
