"p","prefL","es"
"http://purl.bdrc.io/resource/P4307","lo tsA ba ye shes rdo rje/","113"
"http://purl.bdrc.io/resource/P4782","dge rtse 03 'gyur med rnam rgyal/","113"
"http://purl.bdrc.io/resource/P638","'phreng po gter ston shes rab 'od zer/","113"
"http://purl.bdrc.io/resource/P1470","'jam dbyangs bzhad pa 04 skal bzang thub bstan dbang phyug","112"
"http://purl.bdrc.io/resource/P1710","rdzogs chen 04 mi 'gyur nam mkha'i rdo rje/","111"
"http://purl.bdrc.io/resource/P482","gnyal ston dpal 'byor lhun grub/","111"
"http://purl.bdrc.io/resource/P153","lo tsA ba blo gros dpal bzang /","110"
"http://purl.bdrc.io/resource/P3090","dbus pa blo gsal/","109"
"http://purl.bdrc.io/resource/P4CZ10539","ban+de rin chen rgyal mtshan/","109"
"http://purl.bdrc.io/resource/P1KG16717","shes rab bstan dar/","108"
"http://purl.bdrc.io/resource/P2CZ8027","sa phud thub bstan dpal ldan/","108"
"http://purl.bdrc.io/resource/P4952","chu skyes dge 'dun bsam gtan/","108"
"http://purl.bdrc.io/resource/P6524","gnyan chung lo tsA ba/","108"
"http://purl.bdrc.io/resource/P7908","mi nyag bu phrug","108"
"http://purl.bdrc.io/resource/P8468","'brong pa rgyal po/","108"
"http://purl.bdrc.io/resource/P926","sman sdong mtshams pa karma nges don bstan rgyas/","107"
"http://purl.bdrc.io/resource/P20","A tsA rya rin chen mchog","106"
"http://purl.bdrc.io/resource/P10183","lo tsA ba d+harma yon tan/","104"
"http://purl.bdrc.io/resource/P1359","kam kam lo tsA ba chos kyi ye shes/","104"
"http://purl.bdrc.io/resource/P3662","snar thang lo tsA ba sang+g+ha shrI/","104"
"http://purl.bdrc.io/resource/P4358","khyung phrug byams pa bkra shis/","103"
"http://purl.bdrc.io/resource/P4552","pha ra dge bshes rnam rgyal dbang chen/","103"
"http://purl.bdrc.io/resource/P00KG08369","rab brtan dge legs phun tshogs/","102"
"http://purl.bdrc.io/resource/P5115","bka' mgon/","102"
"http://purl.bdrc.io/resource/P5120","dkon mchog bstan 'dzin/","102"
"http://purl.bdrc.io/resource/P7431","reb gong rdo rje mkhar/","102"
"http://purl.bdrc.io/resource/P4CZ15386","bcom ldan 'das ma lak+Shi mi/","101"
"http://purl.bdrc.io/resource/P7418","lo tsA ba ldi ri chos grags/","101"
"http://purl.bdrc.io/resource/P777","ngor mkhan chen 13 nam mkha' dpal bzang /","101"
"http://purl.bdrc.io/resource/P2JM5","rma thog rin chen/","100"
"http://purl.bdrc.io/resource/P6162","rig 'dzin nyi zla 'od zer/","100"
"http://purl.bdrc.io/resource/P6279","karma rgyal mtshan/","100"
"http://purl.bdrc.io/resource/P7707","'brug thar/","100"
"http://purl.bdrc.io/resource/P4420","lo tsa ba gzhon nu mchog","99"
"http://purl.bdrc.io/resource/P4752","shangs pa kun mkhyen mchog lha 'od zer/","99"
"http://purl.bdrc.io/resource/P5064","tshe dbang rdo rje rig 'dzin/","99"
"http://purl.bdrc.io/resource/P432","rta tshag 01 chos kyi rgyal mtshan/","98"
"http://purl.bdrc.io/resource/P1778","shangs ston kun mkhyen legs pa don grub/","97"
